,0
0,Arkansas
1,Colorado
2,Delaware
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nevada
18,New Hampshire
19,New Jersey
20,Rhode Island
21,Utah
22,Vermont
23,Virginia
24,West Virginia
25,Wisconsin
26,Wyoming
